image,threads,mean_exec_time,ci_low,ci_high
512,10,0.002889353535353535,0.0028224577006224654,0.0029562493700846042
512,11,0.0030196868686868696,0.0028544560129717196,0.0031849177244020195
512,12,0.0029755959595959593,0.002870542512059378,0.0030806494071325403
512,13,0.003016969696969697,0.0029318509565956024,0.003102088437343791
512,14,0.0031351616161616165,0.0030521372185437316,0.0032181860137795015
512,15,0.00322210101010101,0.0031429738723572887,0.0033012281478447315
512,16,0.0035224141414141414,0.003228889475652673,0.00381593880717561
1024,1,0.045278838383838386,0.04431050756551745,0.04624716920215932
1024,2,0.021753626262626266,0.0213920429069828,0.02211520961826973
1024,3,0.015107565656565656,0.014684347812074686,0.015530783501056626
1024,4,0.013656010101010101,0.012894857118160446,0.014417163083859756
1024,5,0.01238651515151515,0.011724725359131443,0.013048304943898857
1024,6,0.011782050505050505,0.01125556654054012,0.012308534469560891
1024,7,0.010714,0.010323445158603029,0.01110455484139697
1024,8,0.010138878787878789,0.009924943267597627,0.01035281430815995
1024,9,0.009991747474747474,0.00981829757511292,0.01016519737438203
1024,10,0.00977710101010101,0.009490283627969802,0.010063918392232219
1024,11,0.010191575757575759,0.009816384880689253,0.010566766634462264
1024,12,0.01019810101010101,0.009824259272903087,0.010571942747298932
1024,13,0.010499141414141416,0.010126017215603394,0.010872265612679437
1024,14,0.010486565656565658,0.010138867819775979,0.010834263493355336
1024,15,0.010594111111111111,0.01027371261504665,0.010914509607175573
1024,16,0.0106640101010101,0.010432907597791962,0.010895112604228237
2048,1,0.18217875757575758,0.1796475675830432,0.18470994756847195
2048,2,0.08403656565656564,0.08371155159576397,0.08436157971736731
2048,3,0.057540757575757585,0.056853481796806764,0.05822803335470841
2048,4,0.04783710101010101,0.046073879150325,0.04960032286987702
2048,5,0.04264077777777778,0.04080808726220048,0.04447346829335507
2048,6,0.04025276767676768,0.038446213420026486,0.04205932193350887
2048,7,0.03871987878787879,0.03712582241802623,0.04031393515773135
2048,8,0.036917010101010096,0.03566136260986166,0.03817265759215853
2048,9,0.03843532323232324,0.03723986849220792,0.03963077797243855
2048,10,0.03691094949494949,0.035890725082768075,0.037931173907130904
2048,11,0.034606929292929293,0.033708798056766985,0.0355050605290916
2048,12,0.03397750505050505,0.03296827282108353,0.03498673727992657
2048,13,0.03431562626262626,0.033311298212842295,0.03531995431241023
2048,14,0.034586828282828296,0.03348636956824666,0.03568728699740993
2048,15,0.03469258585858586,0.033784892414649,0.03560027930252272
2048,16,0.034768010101010105,0.03373003042593819,0.03580598977608202
4096,1,0.7203049393939394,0.7114851262003814,0.7291247525874973
4096,2,0.3342064141414141,0.3332561459381391,0.3351566823446891
4096,3,0.2238520606060606,0.2230175760338469,0.22468654517827433
