image,threads,mean_exec_time,ci_low,ci_high
1024,2,0.03747639393939395,0.03716901870539172,0.037783769173396174
1024,3,0.027993161616161617,0.027594143817402193,0.028392179414921042
1024,4,0.023783878787878795,0.022952008582458196,0.024615748993299394
1024,5,0.020992393939393943,0.020279126037720547,0.02170566184106734
1024,6,0.020191121212121212,0.019445164111801305,0.02093707831244112
1024,7,0.018951242424242423,0.018214808291352948,0.019687676557131897
1024,8,0.01800090909090909,0.017463789379608883,0.0185380288022093
1024,9,0.02036212121212121,0.020119594460829802,0.020604647963412617
1024,10,0.020904444444444444,0.02011709810110276,0.021691790787786127
1024,11,0.020974333333333334,0.020500649259167666,0.021448017407499003
1024,12,0.02061369696969697,0.02029989900227675,0.020927494937117187
1024,13,0.020519151515151518,0.02009567043659343,0.020942632593709605
1024,14,0.020967757575757574,0.020463036219993475,0.021472478931521672
1024,15,0.021197888888888888,0.020747560253888606,0.02164821752388917
1024,16,0.021862383838383837,0.021393409156139305,0.02233135852062837
2048,1,0.2695993434343434,0.2686866785225285,0.2705120083461583
2048,2,0.1494450202020202,0.1484333971265427,0.1504566432774977
2048,3,0.10751446464646464,0.10657234355472937,0.1084565857381999
2048,4,0.0872119797979798,0.0856779666083349,0.0887459929876247
2048,5,0.07613661616161617,0.07408613346018103,0.07818709886305131
2048,6,0.07071968686868686,0.06856631333563443,0.0728730604017393
2048,7,0.069607,0.06733942909404532,0.07187457090595469
2048,8,0.0659689393939394,0.06378240183611573,0.06815547695176306
2048,9,0.06778548484848484,0.06618141458651638,0.0693895551104533
2048,10,0.06692016161616161,0.0655538359168545,0.06828648731546873
2048,11,0.06845863636363636,0.0667641570284768,0.07015311569879593
2048,12,0.06672316161616162,0.06516190529891824,0.068284417933405
2048,13,0.06564820202020202,0.06420091778179929,0.06709548625860476
2048,14,0.06688707070707071,0.06510586942957095,0.06866827198457048
2048,15,0.06608154545454546,0.06436202951584413,0.06780106139324679
2048,16,0.06640789898989899,0.06454690374390144,0.06826889423589654
4096,1,1.0699035252525253,1.0680978820923743,1.0717091684126763
4096,2,0.5953972772277228,0.593173972257837,0.5976205821976087
4096,3,0.4247463465346534,0.42267428988156325,0.4268184031877435
4096,4,0.335244,0.3309361450348483,0.33955185496515167
4096,5,0.2769503564356436,0.2749963252745804,0.27890438759670677
4096,6,0.24587394059405937,0.24209629381147765,0.2496515873766411
4096,7,0.2203594554455446,0.21626501788381639,0.22445389300727284
4096,8,0.20744336633663366,0.20136187773339262,0.2135248549398747
4096,9,0.231231,0.22865087868629258,0.2338111213137074
4096,10,0.21980402970297025,0.2179964544858612,0.2216116049200793
4096,11,0.21118931683168318,0.2081619526315673,0.21421668103179906
4096,12,0.20374645000000002,0.20067247057374404,0.206820429426256
4096,13,0.20784911000000006,0.2054384555020632,0.21025976449793693
4096,14,0.2047497878787879,0.20141661385665216,0.20808296190092362
4096,15,0.2082680202020202,0.20458869341528224,0.21194734698875817
4096,16,0.20449417171717174,0.19909038552376568,0.2098979579105778
