           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.431054 [0007]  <idle>                              0.005      0.000      2.247 
   12684.431089 [0002]  <idle>                              0.088      0.000      4.263 
   12684.431105 [0002]  kworker/u32:32-[17335]              0.000      0.007      0.015 
   12684.431289 [0007]  irq/76-rtw88_pc[671]                0.000      0.004      0.235 
   12684.434567 [0007]  <idle>                              0.235      0.000      3.277 
   12684.434607 [0002]  <idle>                              0.015      0.000      3.502 
   12684.434607 [0007]  irq/76-rtw88_pc[671]                3.277      0.002      0.040 
   12684.434861 [0002]  avahi-daemon[609]                   0.000      0.006      0.253 
   12684.436785 [0007]  <idle>                              0.040      0.000      2.177 
   12684.436789 [0007]  rcu_preempt[15]                     7.978      0.004      0.003 
   12684.437906 [0002]  <idle>                              0.253      0.000      3.045 
   12684.437936 [0002]  avahi-daemon[609]                   3.045      0.004      0.029 
   12684.438222 [0007]  <idle>                              0.003      0.000      1.432 
   12684.438256 [0002]  <idle>                              0.029      0.000      0.320 
   12684.438259 [0007]  irq/76-rtw88_pc[671]                3.614      0.002      0.036 
   12684.438437 [0002]  avahi-daemon[609]                   0.320      0.005      0.180 
   12684.439860 [0000]  <idle>                              0.011      0.000     13.045 
   12684.439863 [0003]  <idle>                              0.051      0.000     14.153 
   12684.439882 [0003]  kworker/u32:13-[17311]             14.153      0.007      0.019 
   12684.439882 [0002]  <idle>                              0.180      0.000      1.445 
   12684.439889 [0000]  Xorg[1087]                         13.045      0.002      0.029 
   12684.439981 [0000]  <idle>                              0.029      0.000      0.091 
   12684.439996 [0006]  <idle>                              0.910      0.000     13.913 
   12684.439996 [0002]  budgie-wm[1560]                    13.056      0.007      0.113 
   12684.439997 [0000]  Xorg[1087]                          0.091      0.005      0.016 
   12684.440037 [0006]  tilix[2046]                        13.913      0.005      0.040 
   12684.441046 [0002]  <idle>                              0.113      0.000      1.049 
   12684.441072 [0000]  <idle>                              0.016      0.000      1.075 
   12684.441074 [0002]  budgie-wm[1560]                     1.049      0.004      0.028 
   12684.441086 [0000]  Xorg[1087]                          1.075      0.004      0.014 
   12684.441087 [0002]  <idle>                              0.028      0.000      0.013 
   12684.441333 [0000]  <idle>                              0.014      0.000      0.247 
