           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.593885 [0001]  gfx[850]                            0.052      0.002      0.004 
   12684.593889 [0002]  budgie-wm[1560]                     0.086      0.005      0.087 
   12684.594176 [0001]  <idle>                              0.004      0.000      0.290 
   12684.594179 [0001]  gfx[850]                            0.290      0.002      0.003 
   12684.597134 [0001]  <idle>                              0.003      0.000      2.955 
   12684.597153 [0001]  JS Watchdog[16824/16817]            0.000      0.006      0.018 
   12684.600730 [0007]  <idle>                              0.011      0.000      7.977 
   12684.600737 [0007]  rcu_preempt[15]                     7.977      0.009      0.006 
   12684.604721 [0007]  <idle>                              0.006      0.000      3.984 
   12684.604727 [0007]  rcu_preempt[15]                     3.984      0.006      0.005 
   12684.606453 [0000]  <idle>                              0.013      0.000     12.574 
   12684.606455 [0003]  <idle>                              0.047      0.000     14.195 
   12684.606473 [0003]  kworker/u32:13-[17311]             14.195      0.008      0.017 
   12684.606477 [0002]  <idle>                              0.087      0.000     12.587 
   12684.606482 [0000]  Xorg[1087]                         12.574      0.004      0.028 
   12684.606553 [0000]  <idle>                              0.028      0.000      0.070 
   12684.606568 [0002]  budgie-wm[1560]                    12.587      0.008      0.091 
   12684.606569 [0000]  Xorg[1087]                          0.070      0.005      0.016 
   12684.606570 [0006]  <idle>                              1.432      0.000     13.359 
   12684.606619 [0006]  tilix[2046]                        13.359      0.006      0.049 
   12684.607620 [0002]  <idle>                              0.091      0.000      1.051 
   12684.607645 [0000]  <idle>                              0.016      0.000      1.075 
   12684.607646 [0002]  budgie-wm[1560]                     1.051      0.005      0.026 
   12684.607658 [0000]  Xorg[1087]                          1.075      0.004      0.013 
   12684.607658 [0002]  <idle>                              0.026      0.000      0.011 
   12684.607893 [0000]  <idle>                              0.013      0.000      0.235 
   12684.607898 [0002]  budgie-wm[1560]                     0.011      0.005      0.239 
   12684.607905 [0000]  Xorg[1087]                          0.235      0.005      0.012 
   12684.607907 [0002]  <idle>                              0.239      0.000      0.008 
   12684.608154 [0006]  <idle>                              0.049      0.000      1.535 
   12684.608168 [0002]  budgie-wm[1560]                     0.008      0.006      0.261 
   12684.608215 [0001]  <idle>                              0.018      0.000     11.061 
   12684.608225 [0006]  budgie-wm:cs0[1567/1560]           16.570      0.008      0.071 
   12684.608226 [0002]  <idle>                              0.261      0.000      0.057 
   12684.608233 [0001]  gfx[850]                           14.035      0.006      0.018 
   12684.608252 [0000]  <idle>                              0.012      0.000      0.346 
   12684.608261 [0002]  budgie-wm[1560]                     0.057      0.006      0.035 
   12684.608302 [0003]  <idle>                              0.017      0.000      1.829 
   12684.608325 [0002]  <idle>                              0.035      0.000      0.063 
   12684.608328 [0000]  Xorg[1087]                          0.346      0.004      0.076 
   12684.608355 [0003]  kworker/u32:13-[17311]              1.829      0.009      0.052 
   12684.608367 [0000]  <idle>                              0.076      0.000      0.038 
   12684.608380 [0006]  <idle>                              0.071      0.000      0.154 
   12684.608380 [0000]  Xorg[1087]                          0.038      0.003      0.013 
   12684.608394 [0002]  budgie-wm[1560]                     0.063      0.005      0.068 
   12684.608872 [0001]  <idle>                              0.018      0.000      0.638 
   12684.608873 [0003]  <idle>                              0.052      0.000      0.517 
   12684.608877 [0001]  gfx[850]                            0.638      0.004      0.005 
   12684.608925 [0003]  kworker/u32:13-[17311]              0.517      0.006      0.052 
   12684.609634 [0002]  <idle>                              0.068      0.000      1.240 
   12684.609718 [0002]  avahi-daemon[609]                  81.049      0.005      0.084 
   12684.609769 [0000]  <idle>                              0.013      0.000      1.389 
   12684.609785 [0006]  tilix[2046]                         1.760      0.004      1.405 
   12684.609869 [0004]  <idle>                              0.030      0.000     16.081 
   12684.609875 [0000]  Xorg[1087]                          1.389      0.006      0.106 
   12684.609903 [0001]  <idle>                              0.005      0.000      1.025 
   12684.609906 [0000]  <idle>                              0.106      0.000      0.030 
   12684.609906 [0004]  Xorg:cs0[1091/1087]                16.081      0.007      0.037 
   12684.609923 [0001]  gfx[850]                            1.025      0.005      0.020 
   12684.609998 [0004]  <idle>                              0.037      0.000      0.091 
   12684.610003 [0000]  Xorg[1087]                          0.030      0.003      0.096 
   12684.610015 [0004]  Xorg:cs0[1091/1087]                 0.091      0.004      0.017 
   12684.610016 [0001]  <idle>                              0.020      0.000      0.092 
   12684.610016 [0000]  <idle>                              0.096      0.000      0.013 
   12684.610027 [0001]  gfx[850]                            0.092      0.006      0.011 
   12684.610090 [0004]  <idle>                              0.017      0.000      0.075 
   12684.610095 [0000]  Xorg[1087]                          0.013      0.003      0.079 
   12684.610104 [0004]  Xorg:cs0[1091/1087]                 0.075      0.004      0.014 
   12684.610105 [0000]  <idle>                              0.079      0.000      0.010 
   12684.610175 [0004]  <idle>                              0.014      0.000      0.070 
   12684.610179 [0000]  Xorg[1087]                          0.010      0.003      0.073 
   12684.610188 [0004]  Xorg:cs0[1091/1087]                 0.070      0.003      0.013 
   12684.610189 [0000]  <idle>                              0.073      0.000      0.010 
   12684.610244 [0002]  <idle>                              0.084      0.000      0.525 
   12684.610308 [0002]  budgie-wm[1560]                     1.850      0.007      0.064 
   12684.610327 [0004]  <idle>                              0.013      0.000      0.139 
   12684.610335 [0000]  Xorg[1087]                          0.010      0.003      0.146 
   12684.610340 [0000]  <idle>                              0.146      0.000      0.004 
   12684.610346 [0000]  Xorg[1087]                          0.004      0.000      0.006 
   12684.610356 [0004]  Xorg:cs0[1091/1087]                 0.139      0.004      0.029 
   12684.610356 [0000]  <idle>                              0.006      0.000      0.010 
   12684.610369 [0002]  <idle>                              0.064      0.000      0.060 
   12684.610379 [0001]  <idle>                              0.011      0.000      0.351 
   12684.610383 [0000]  Xorg[1087]                          0.010      0.002      0.026 
   12684.610394 [0001]  gfx[850]                            0.351      0.006      0.014 
   12684.610438 [0001]  <idle>                              0.014      0.000      0.043 
   12684.610439 [0000]  <idle>                              0.026      0.000      0.056 
   12684.610447 [0001]  gfx[850]                            0.043      0.004      0.009 
   12684.610453 [0000]  Xorg[1087]                          0.056      0.004      0.014 
   12684.610461 [0002]  budgie-wm[1560]                     0.060      0.006      0.092 
   12684.610502 [0001]  <idle>                              0.009      0.000      0.054 
   12684.610511 [0001]  gfx[850]                            0.054      0.004      0.009 
   12684.610568 [0001]  <idle>                              0.009      0.000      0.057 
   12684.610572 [0001]  gfx[850]                            0.057      0.003      0.003 
   12684.610852 [0001]  <idle>                              0.003      0.000      0.280 
   12684.610855 [0001]  gfx[850]                            0.280      0.003      0.003 
   12684.612731 [0007]  <idle>                              0.005      0.000      8.004 
   12684.612740 [0007]  rcu_preempt[15]                     8.004      0.013      0.008 
   12684.620716 [0007]  <idle>                              0.008      0.000      7.976 
   12684.620720 [0007]  rcu_preempt[15]                     7.976      0.007      0.004 
   12684.622289 [0000]  <idle>                              0.014      0.000     11.835 
   12684.622313 [0000]  code[17682/17658]                  88.057      0.005      0.023 
   12684.622315 [0007]  <idle>                              0.004      0.000      1.595 
   12684.622404 [0000]  <idle>                              0.023      0.000      0.091 
   12684.622409 [0000]  code[17682/17658]                   0.091      0.005      0.005 
   12684.622417 [0007]  code[17658]                        88.081      0.008      0.101 
   12684.623112 [0000]  <idle>                              0.005      0.000      0.702 
   12684.623113 [0003]  <idle>                              0.052      0.000     14.188 
   12684.623130 [0003]  kworker/u32:13-[17311]             14.188      0.007      0.016 
   12684.623140 [0002]  <idle>                              0.092      0.000     12.678 
   12684.623148 [0000]  Xorg[1087]                         12.658      0.003      0.036 
   12684.623218 [0000]  <idle>                              0.036      0.000      0.069 
   12684.623233 [0002]  budgie-wm[1560]                    12.678      0.006      0.093 
   12684.623235 [0000]  Xorg[1087]                          0.069      0.005      0.016 
   12684.623237 [0006]  <idle>                              1.405      0.000     13.451 
   12684.623293 [0006]  tilix[2046]                        13.451      0.007      0.056 
   12684.624284 [0002]  <idle>                              0.093      0.000      1.051 
   12684.624310 [0000]  <idle>                              0.016      0.000      1.075 
   12684.624312 [0002]  budgie-wm[1560]                     1.051      0.005      0.027 
   12684.624323 [0000]  Xorg[1087]                          1.075      0.005      0.013 
   12684.624324 [0002]  <idle>                              0.027      0.000      0.012 
   12684.624571 [0000]  <idle>                              0.013      0.000      0.247 
   12684.624576 [0002]  budgie-wm[1560]                     0.012      0.006      0.251 
   12684.624583 [0000]  Xorg[1087]                          0.247      0.005      0.012 
   12684.624587 [0002]  <idle>                              0.251      0.000      0.011 
   12684.624862 [0006]  <idle>                              0.056      0.000      1.569 
   12684.624875 [0002]  budgie-wm[1560]                     0.011      0.008      0.287 
   12684.624923 [0001]  <idle>                              0.003      0.000     14.067 
   12684.624934 [0006]  budgie-wm:cs0[1567/1560]           16.637      0.008      0.071 
   12684.624937 [0002]  <idle>                              0.287      0.000      0.062 
   12684.624941 [0001]  gfx[850]                           14.067      0.007      0.017 
   12684.624965 [0000]  <idle>                              0.012      0.000      0.381 
   12684.624974 [0002]  budgie-wm[1560]                     0.062      0.010      0.036 
   12684.625016 [0003]  <idle>                              0.016      0.000      1.885 
   12684.625045 [0000]  Xorg[1087]                          0.381      0.005      0.080 
   12684.625045 [0002]  <idle>                              0.036      0.000      0.070 
   12684.625066 [0003]  kworker/u32:13-[17311]              1.885      0.007      0.049 
   12684.625088 [0000]  <idle>                              0.080      0.000      0.043 
   12684.625104 [0000]  Xorg[1087]                          0.043      0.005      0.015 
   12684.625104 [0006]  <idle>                              0.071      0.000      0.169 
   12684.625113 [0002]  budgie-wm[1560]                     0.070      0.008      0.068 
   12684.625577 [0001]  <idle>                              0.017      0.000      0.636 
   12684.625577 [0003]  <idle>                              0.049      0.000      0.511 
   12684.625583 [0001]  gfx[850]                            0.636      0.004      0.005 
   12684.625626 [0003]  kworker/u32:13-[17311]              0.511      0.005      0.048 
   12684.626482 [0000]  <idle>                              0.015      0.000      1.378 
   12684.626498 [0006]  tilix[2046]                         1.811      0.005      1.393 
   12684.626584 [0004]  <idle>                              0.029      0.000     16.227 
   12684.626591 [0000]  Xorg[1087]                          1.378      0.006      0.108 
   12684.626617 [0001]  <idle>                              0.005      0.000      1.033 
   12684.626621 [0000]  <idle>                              0.108      0.000      0.029 
   12684.626621 [0004]  Xorg:cs0[1091/1087]                16.227      0.007      0.036 
   12684.626637 [0001]  gfx[850]                            1.033      0.005      0.019 
   12684.626721 [0004]  <idle>                              0.036      0.000      0.100 
   12684.626726 [0000]  Xorg[1087]                          0.029      0.004      0.105 
   12684.626738 [0001]  <idle>                              0.019      0.000      0.101 
   12684.626738 [0004]  Xorg:cs0[1091/1087]                 0.100      0.004      0.017 
   12684.626740 [0000]  <idle>                              0.105      0.000      0.013 
   12684.626749 [0001]  gfx[850]                            0.101      0.005      0.011 
   12684.626814 [0004]  <idle>                              0.017      0.000      0.075 
   12684.626818 [0000]  Xorg[1087]                          0.013      0.004      0.078 
   12684.626827 [0004]  Xorg:cs0[1091/1087]                 0.075      0.004      0.013 
   12684.626829 [0000]  <idle>                              0.078      0.000      0.011 
   12684.626897 [0004]  <idle>                              0.013      0.000      0.070 
   12684.626903 [0000]  Xorg[1087]                          0.011      0.004      0.073 
   12684.626912 [0004]  Xorg:cs0[1091/1087]                 0.070      0.002      0.014 
   12684.626914 [0000]  <idle>                              0.073      0.000      0.011 
   12684.626969 [0002]  <idle>                              0.068      0.000      1.855 
   12684.627018 [0002]  budgie-wm[1560]                     1.855      0.008      0.049 
   12684.627050 [0004]  <idle>                              0.014      0.000      0.137 
   12684.627059 [0000]  Xorg[1087]                          0.011      0.004      0.145 
   12684.627076 [0001]  <idle>                              0.011      0.000      0.326 
   12684.627078 [0004]  Xorg:cs0[1091/1087]                 0.137      0.003      0.028 
   12684.627079 [0000]  <idle>                              0.145      0.000      0.020 
   12684.627092 [0001]  gfx[850]                            0.326      0.006      0.015 
   12684.627094 [0002]  <idle>                              0.049      0.000      0.076 
   12684.627108 [0000]  Xorg[1087]                          0.020      0.004      0.028 
   12684.627135 [0001]  <idle>                              0.015      0.000      0.043 
   12684.627144 [0001]  gfx[850]                            0.043      0.004      0.009 
   12684.627159 [0000]  <idle>                              0.028      0.000      0.050 
   12684.627171 [0000]  Xorg[1087]                          0.050      0.004      0.012 
   12684.627182 [0002]  budgie-wm[1560]                     0.076      0.007      0.087 
   12684.627200 [0001]  <idle>                              0.009      0.000      0.055 
   12684.627209 [0001]  gfx[850]                            0.055      0.003      0.009 
   12684.627264 [0001]  <idle>                              0.009      0.000      0.055 
   12684.627268 [0001]  gfx[850]                            0.055      0.003      0.003 
   12684.627552 [0001]  <idle>                              0.003      0.000      0.284 
   12684.627555 [0001]  gfx[850]                            0.284      0.003      0.003 
   12684.628723 [0007]  <idle>                              0.101      0.000      6.305 
   12684.628730 [0007]  rcu_preempt[15]                     8.002      0.014      0.007 
   12684.629113 [0003]  <idle>                              0.048      0.000      3.487 
   12684.629132 [0003]  cpptools[18181/18171]             101.279      0.006      0.019 
   12684.635870 [0007]  <idle>                              0.007      0.000      7.140 
   12684.635908 [0002]  <idle>                              0.087      0.000      8.725 
   12684.635923 [0002]  kworker/u32:32-[17335]            102.386      0.007      0.015 
   12684.636107 [0007]  irq/76-rtw88_pc[671]               91.529      0.008      0.236 
   12684.637771 [0006]  <idle>                              1.393      0.000     11.273 
   12684.639632 [0007]  <idle>                              0.236      0.000      3.525 
   12684.639773 [0003]  <idle>                              0.019      0.000     10.640 
   12684.639773 [0000]  <idle>                              0.012      0.000     12.601 
   12684.639795 [0003]  kworker/u32:13-[17311]             14.147      0.007      0.021 
   12684.639805 [0002]  <idle>                              0.015      0.000      3.882 
   12684.639817 [0000]  Xorg[1087]                         12.601      0.003      0.044 
   12684.639913 [0000]  <idle>                              0.044      0.000      0.096 
   12684.639932 [0002]  budgie-wm[1560]                    12.623      0.006      0.127 
   12684.639945 [0002]  <idle>                              0.127      0.000      0.012 
   12684.639947 [0000]  Xorg[1087]                          0.096      0.006      0.034 
   12684.639980 [0003]  <idle>                              0.021      0.000      0.185 
   12684.640058 [0002]  avahi-daemon[609]                  30.226      0.013      0.113 
   12684.640071 [0003]  NetworkManager[615]               102.567      0.022      0.090 
   12684.640141 [0002]  tilix[2046]                        13.560      0.127      0.082 
   12684.640203 [0007]  irq/76-rtw88_pc[671]                3.525      0.010      0.571 
   12684.640718 [0007]  <idle>                              0.571      0.000      0.514 
   12684.640728 [0007]  rcu_preempt[15]                    11.988      0.014      0.010 
   12684.640982 [0002]  <idle>                              0.195      0.000      0.841 
   12684.641032 [0000]  <idle>                              0.034      0.000      1.084 
   12684.641034 [0002]  budgie-wm[1560]                     1.050      0.005      0.051 
   12684.641047 [0000]  Xorg[1087]                          1.084      0.005      0.015 
   12684.641048 [0002]  <idle>                              0.051      0.000      0.013 
   12684.641315 [0000]  <idle>                              0.015      0.000      0.267 
   12684.641320 [0002]  budgie-wm[1560]                     0.013      0.006      0.271 
   12684.641329 [0000]  Xorg[1087]                          0.267      0.005      0.013 
   12684.641331 [0002]  <idle>                              0.271      0.000      0.011 
   12684.641616 [0004]  <idle>                              0.028      0.000     14.538 
   12684.641633 [0002]  budgie-wm[1560]                     0.011      0.007      0.301 
   12684.641686 [0001]  <idle>                              0.003      0.000     14.130 
   12684.641693 [0004]  budgie-wm:cs0[1567/1560]           16.681      0.013      0.076 
   12684.641696 [0002]  <idle>                              0.301      0.000      0.063 
   12684.641712 [0001]  gfx[850]                           14.130      0.008      0.026 
   12684.641725 [0000]  <idle>                              0.013      0.000      0.396 
   12684.641736 [0002]  budgie-wm[1560]                     0.063      0.009      0.040 
   12684.641788 [0003]  <idle>                              0.090      0.000      1.717 
   12684.641819 [0002]  <idle>                              0.040      0.000      0.083 
   12684.641820 [0000]  Xorg[1087]                          0.396      0.005      0.095 
   12684.641852 [0003]  kworker/u32:13-[17311]              1.993      0.009      0.063 
   12684.641867 [0000]  <idle>                              0.095      0.000      0.047 
   12684.641885 [0000]  Xorg[1087]                          0.047      0.005      0.017 
   12684.641890 [0003]  <idle>                              0.063      0.000      0.038 
   12684.641903 [0002]  budgie-wm[1560]                     0.083      0.007      0.083 
   12684.642300 [0000]  <idle>                              0.017      0.000      0.415 
   12684.642301 [0001]  <idle>                              0.026      0.000      0.588 
   12684.642308 [0001]  gfx[850]                            0.588      0.005      0.006 
   12684.642346 [0000]  kworker/u32:13-[17311]              0.448      0.006      0.046 
   12684.643338 [0000]  <idle>                              0.046      0.000      0.991 
   12684.643357 [0003]  tilix[2046]                         1.749      0.013      1.466 
   12684.643441 [0004]  <idle>                              0.076      0.000      1.747 
   12684.643447 [0000]  Xorg[1087]                          1.453      0.006      0.109 
   12684.643479 [0001]  <idle>                              0.006      0.000      1.171 
   12684.643484 [0004]  Xorg:cs0[1091/1087]                16.363      0.008      0.042 
   12684.643484 [0000]  <idle>                              0.109      0.000      0.036 
   12684.643502 [0001]  gfx[850]                            1.171      0.004      0.022 
   12684.643586 [0004]  <idle>                              0.042      0.000      0.102 
   12684.643592 [0000]  Xorg[1087]                          0.036      0.004      0.107 
   12684.643601 [0001]  <idle>                              0.022      0.000      0.099 
   12684.643602 [0004]  Xorg:cs0[1091/1087]                 0.102      0.003      0.015 
   12684.643603 [0000]  <idle>                              0.107      0.000      0.010 
   12684.643618 [0001]  gfx[850]                            0.099      0.005      0.016 
   12684.643677 [0004]  <idle>                              0.015      0.000      0.074 
   12684.643682 [0000]  Xorg[1087]                          0.010      0.003      0.079 
   12684.643690 [0004]  Xorg:cs0[1091/1087]                 0.074      0.002      0.013 
   12684.643691 [0000]  <idle>                              0.079      0.000      0.008 
   12684.643758 [0004]  <idle>                              0.013      0.000      0.068 
   12684.643763 [0000]  Xorg[1087]                          0.008      0.003      0.072 
   12684.643771 [0004]  Xorg:cs0[1091/1087]                 0.068      0.002      0.013 
   12684.643772 [0000]  <idle>                              0.072      0.000      0.008 
   12684.643816 [0001]  <idle>                              0.016      0.000      0.198 
   12684.643831 [0001]  gfx[850]                            0.198      0.006      0.014 
   12684.643836 [0002]  <idle>                              0.083      0.000      1.932 
   12684.643875 [0001]  <idle>                              0.014      0.000      0.043 
   12684.643888 [0001]  gfx[850]                            0.043      0.005      0.012 
   12684.643911 [0002]  budgie-wm[1560]                     1.932      0.014      0.074 
   12684.643928 [0004]  <idle>                              0.013      0.000      0.156 
   12684.643938 [0000]  Xorg[1087]                          0.008      0.003      0.165 
   12684.643941 [0001]  <idle>                              0.012      0.000      0.053 
   12684.643946 [0001]  gfx[850]                            0.053      0.004      0.004 
   12684.643955 [0001]  <idle>                              0.004      0.000      0.009 
   12684.643960 [0004]  Xorg:cs0[1091/1087]                 0.156      0.003      0.031 
   12684.643960 [0000]  <idle>                              0.165      0.000      0.022 
   12684.643975 [0002]  <idle>                              0.074      0.000      0.063 
   12684.643976 [0001]  gfx[850]                            0.009      0.002      0.020 
   12684.643992 [0000]  Xorg[1087]                          0.022      0.003      0.031 
   12684.644002 [0001]  <idle>                              0.020      0.000      0.026 
   12684.644008 [0001]  gfx[850]                            0.026      0.002      0.005 
   12684.644050 [0000]  <idle>                              0.031      0.000      0.058 
   12684.644069 [0000]  Xorg[1087]                          0.058      0.005      0.018 
   12684.644072 [0002]  budgie-wm[1560]                     0.063      0.006      0.097 
   12684.644301 [0001]  <idle>                              0.005      0.000      0.292 
   12684.644306 [0001]  gfx[850]                            0.292      0.003      0.005 
   12684.648710 [0007]  <idle>                              0.010      0.000      7.981 
   12684.648716 [0007]  rcu_preempt[15]                     7.981      0.010      0.005 
   12684.652708 [0007]  <idle>                              0.005      0.000      3.992 
   12684.652713 [0007]  rcu_preempt[15]                     3.992      0.004      0.004 
   12684.656432 [0000]  <idle>                              0.018      0.000     12.363 
   12684.656456 [0000]  kworker/u32:13-[17311]             14.085      0.007      0.023 
   12684.656497 [0002]  <idle>                              0.097      0.000     12.424 
   12684.656516 [0000]  Xorg[1087]                         12.387      0.028      0.060 
   12684.656595 [0000]  <idle>                              0.083      0.000      0.079 
   12684.656611 [0002]  budgie-wm[1560]                    12.424      0.010      0.113 
   12684.656627 [0000]  Xorg[1087]                          0.079      0.008      0.031 
   12684.656631 [0003]  <idle>                              1.466      0.000     13.274 
   12684.656723 [0003]  tilix[2046]                        13.274      0.014      0.092 
   12684.657662 [0002]  <idle>                              0.113      0.000      1.051 
   12684.657699 [0000]  <idle>                              0.031      0.000      1.072 
   12684.657700 [0002]  budgie-wm[1560]                     1.051      0.005      0.038 
   12684.657721 [0002]  <idle>                              0.038      0.000      0.021 
   12684.657723 [0000]  Xorg[1087]                          1.072      0.007      0.023 
   12684.657988 [0000]  <idle>                              0.023      0.000      0.265 
   12684.657992 [0002]  budgie-wm[1560]                     0.021      0.007      0.270 
   12684.658007 [0000]  Xorg[1087]                          0.265      0.007      0.019 
   12684.658009 [0002]  <idle>                              0.270      0.000      0.017 
   12684.658301 [0004]  <idle>                              0.031      0.000     14.341 
   12684.658321 [0002]  budgie-wm[1560]                     0.017      0.009      0.311 
   12684.658371 [0001]  <idle>                              0.005      0.000     14.064 
   12684.658376 [0004]  budgie-wm:cs0[1567/1560]           16.608      0.010      0.074 
   12684.658380 [0002]  <idle>                              0.311      0.000      0.059 
   12684.658402 [0001]  gfx[850]                           14.064      0.008      0.031 
   12684.658410 [0000]  <idle>                              0.019      0.000      0.403 
   12684.658418 [0002]  budgie-wm[1560]                     0.059      0.009      0.038 
   12684.658483 [0003]  <idle>                              0.092      0.000      1.759 
   12684.658517 [0002]  <idle>                              0.038      0.000      0.098 
   12684.658520 [0000]  Xorg[1087]                          0.403      0.007      0.109 
   12684.658545 [0003]  kworker/u32:13-[17311]              2.026      0.011      0.061 
   12684.658568 [0000]  <idle>                              0.109      0.000      0.047 
   12684.658591 [0000]  Xorg[1087]                          0.047      0.007      0.023 
   12684.658594 [0003]  <idle>                              0.061      0.000      0.048 
   12684.658598 [0002]  budgie-wm[1560]                     0.098      0.009      0.081 
   12684.659045 [0000]  <idle>                              0.023      0.000      0.454 
   12684.659045 [0001]  <idle>                              0.031      0.000      0.643 
   12684.659055 [0001]  gfx[850]                            0.643      0.006      0.009 
   12684.659097 [0000]  kworker/u32:13-[17311]              0.500      0.008      0.051 
   12684.660058 [0000]  <idle>                              0.051      0.000      0.961 
   12684.660077 [0003]  tilix[2046]                         1.870      0.010      1.483 
   12684.660193 [0004]  <idle>                              0.074      0.000      1.817 
   12684.660204 [0000]  Xorg[1087]                          1.467      0.008      0.145 
   12684.660233 [0001]  <idle>                              0.009      0.000      1.178 
   12684.660236 [0004]  Xorg:cs0[1091/1087]                16.233      0.009      0.042 
   12684.660237 [0000]  <idle>                              0.145      0.000      0.032 
   12684.660262 [0001]  gfx[850]                            1.178      0.007      0.028 
   12684.660369 [0004]  <idle>                              0.042      0.000      0.133 
   12684.660380 [0000]  Xorg[1087]                          0.032      0.005      0.143 
   12684.660384 [0001]  <idle>                              0.028      0.000      0.121 
   12684.660384 [0004]  Xorg:cs0[1091/1087]                 0.133      0.003      0.015 
   12684.660386 [0000]  <idle>                              0.143      0.000      0.005 
   12684.660405 [0001]  gfx[850]                            0.121      0.005      0.021 
   12684.660496 [0004]  <idle>                              0.015      0.000      0.112 
   12684.660509 [0000]  Xorg[1087]                          0.005      0.004      0.123 
   12684.660511 [0004]  Xorg:cs0[1091/1087]                 0.112      0.003      0.014 
   12684.660516 [0000]  <idle>                              0.123      0.000      0.006 
   12684.660583 [0001]  <idle>                              0.021      0.000      0.177 
   12684.660604 [0001]  gfx[850]                            0.177      0.006      0.021 
   12684.660624 [0004]  <idle>                              0.014      0.000      0.112 
   12684.660634 [0000]  Xorg[1087]                          0.006      0.000      0.118 
   12684.660639 [0004]  Xorg:cs0[1091/1087]                 0.112      0.003      0.015 
   12684.660641 [0000]  <idle>                              0.118      0.000      0.007 
   12684.660644 [0001]  <idle>                              0.021      0.000      0.039 
   12684.660661 [0001]  gfx[850]                            0.039      0.003      0.016 
   12684.660709 [0007]  <idle>                              0.004      0.000      7.995 
   12684.660716 [0001]  <idle>                              0.016      0.000      0.055 
   12684.660717 [0007]  rcu_preempt[15]                     7.995      0.011      0.008 
   12684.660725 [0001]  gfx[850]                            0.055      0.012      0.009 
   12684.660746 [0001]  ksoftirqd/1[23]                     0.000      0.015      0.020 
   12684.660762 [0002]  <idle>                              0.081      0.000      2.164 
   12684.660774 [0001]  <idle>                              0.030      0.000      0.027 
   12684.660781 [0001]  gfx[850]                            0.048      0.004      0.007 
   12684.660844 [0002]  budgie-wm[1560]                     2.164      0.014      0.082 
   12684.660898 [0004]  <idle>                              0.015      0.000      0.259 
   12684.660910 [0000]  Xorg[1087]                          0.007      0.004      0.268 
   12684.660920 [0000]  <idle>                              0.268      0.000      0.010 
   12684.660930 [0000]  Xorg[1087]                          0.010      0.000      0.010 
   12684.660933 [0001]  <idle>                              0.007      0.000      0.152 
   12684.660936 [0004]  Xorg:cs0[1091/1087]                 0.259      0.005      0.037 
   12684.660937 [0000]  <idle>                              0.010      0.000      0.006 
   12684.660956 [0002]  <idle>                              0.082      0.000      0.111 
   12684.660958 [0001]  gfx[850]                            0.152      0.004      0.024 
   12684.660982 [0000]  Xorg[1087]                          0.006      0.004      0.044 
   12684.661039 [0000]  <idle>                              0.044      0.000      0.056 
   12684.661057 [0000]  Xorg[1087]                          0.056      0.008      0.018 
   12684.661059 [0002]  budgie-wm[1560]                     0.111      0.007      0.102 
   12684.661237 [0001]  <idle>                              0.024      0.000      0.279 
   12684.661244 [0001]  gfx[850]                            0.279      0.004      0.006 
   12684.662543 [0001]  <idle>                              0.006      0.000      1.299 
   12684.662662 [0001]  code[17683]                       200.123      0.005      0.119 
   12684.664222 [0004]  <idle>                              0.037      0.000      3.285 
   12684.664295 [0007]  <idle>                              0.008      0.000      3.578 
   12684.664296 [0004]  Compositor[17623/17603]             0.000      0.012      0.073 
   12684.664351 [0000]  <idle>                              0.018      0.000      3.293 
   12684.664354 [0007]  Chrome_ChildIOT[17607/17566]        0.000      0.017      0.058 
   12684.664462 [0002]  <idle>                              0.102      0.000      3.403 
   12684.664492 [0006]  code[17603]                       103.393      0.004     26.720 
   12684.664519 [0006]  <idle>                             26.720      0.000      0.026 
   12684.664528 [0000]  VizCompositorTh[17609/17566]        0.000      0.012      0.176 
   12684.664551 [0004]  <idle>                              0.073      0.000      0.255 
   12684.664561 [0002]  Chrome_ChildIOT[17616/17603]      130.241      0.009      0.098 
   12684.664608 [0002]  <idle>                              0.098      0.000      0.047 
   12684.664613 [0003]  <idle>                              1.483      0.000      4.535 
   12684.664617 [0004]  Compositor[17623/17603]             0.255      0.003      0.066 
   12684.664621 [0006]  Chrome_IOThread[17540/17527]        0.000      0.013      0.102 
   12684.665139 [0004]  <idle>                              0.066      0.000      0.521 
   12684.665166 [0007]  <idle>                              0.058      0.000      0.812 
   12684.665169 [0004]  Compositor[17623/17603]             0.521      0.003      0.030 
   12684.665202 [0000]  <idle>                              0.176      0.000      0.674 
   12684.665210 [0007]  Chrome_ChildIOT[17607/17566]        0.812      0.008      0.043 
   12684.665251 [0001]  <idle>                              0.119      0.000      2.588 
   12684.665261 [0000]  VizCompositorTh[17609/17566]        0.674      0.005      0.058 
   12684.665279 [0004]  <idle>                              0.030      0.000      0.109 
   12684.665282 [0001]  Chrome_ChildIOT[17616/17603]        0.690      0.010      0.031 
   12684.665303 [0004]  Compositor[17623/17603]             0.109      0.004      0.024 
   12684.665344 [0006]  <idle>                              0.102      0.000      0.722 
   12684.665378 [0000]  <idle>                              0.058      0.000      0.117 
   12684.665380 [0006]  code[17568/17527]                   0.000      0.013      0.035 
   12684.665391 [0000]  code[17565/17527]                   0.000      0.008      0.012 
   12684.665669 [0001]  <idle>                              0.031      0.000      0.386 
   12684.665669 [0004]  <idle>                              0.024      0.000      0.366 
